Date: 2017/04/13 13:22:19.152 | Message: 300 transactions were parsed for 00493706 <br/>
Date: 2017/04/13 13:22:30.628 | Message: 297 transactions were parsed for 00493706 <br/>
Date: 2017/04/13 13:22:33.103 | Message: 290 transactions were parsed for 00493706 <br/>
Date: 2017/04/13 13:22:34.748 | Message: 298 transactions were parsed for 00493706 <br/>
Date: 2017/04/13 13:22:36.990 | Message: 296 transactions were parsed for 00493706 <br/>
Date: 2017/04/13 13:22:38.769 | Message: 298 transactions were parsed for 00493706 <br/>
Date: 2017/04/13 13:22:41.735 | Message: 298 transactions were parsed for 00493706 <br/>
Date: 2017/04/13 13:22:46.988 | Message: 298 transactions were parsed for 00493706 <br/>
Date: 2017/04/13 13:22:50.386 | Message: 299 transactions were parsed for 00493706 <br/>
Date: 2017/04/13 13:22:54.594 | Message: 288 transactions were parsed for 00493706 <br/>
Date: 2017/04/13 13:22:58.576 | Message: 297 transactions were parsed for 00493706 <br/>
Date: 2017/04/13 13:47:31.773 | Message: [00493706] | Index taks was started. <br/>
Date: 2017/04/13 13:47:31.788 | Message: [00493706] | Import task status will be changed from Failed to InProgress <br/>
Date: 2017/04/13 13:47:31.788 | Message: [00493706] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 0 <br/>
Date: 2017/04/13 13:47:32.275 | Message: [00493706] | Parsed transaction count: 300 <br/>
Date: 2017/04/13 13:47:32.748 | Message: [00493706] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 4743 <br/>
Date: 2017/04/13 13:47:36.166 | Message: [00493706] | Parsed transaction count: 295 <br/>
Date: 2017/04/13 13:47:36.427 | Message: [00493706] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 5038 <br/>
Date: 2017/04/13 13:47:40.566 | Message: [00493706] | Parsed transaction count: 298 <br/>
Date: 2017/04/13 13:47:40.834 | Message: [00493706] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 5336 <br/>
Date: 2017/04/13 13:47:44.028 | Message: [00493706] | Parsed transaction count: 298 <br/>
Date: 2017/04/13 13:47:44.273 | Message: [00493706] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 5634 <br/>
Date: 2017/04/13 13:47:47.827 | Message: [00493706] | Parsed transaction count: 288 <br/>
Date: 2017/04/13 13:47:48.047 | Message: [00493706] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 5922 <br/>
Date: 2017/04/13 13:47:50.859 | Message: [00493706] | Parsed transaction count: 298 <br/>
Date: 2017/04/13 13:47:51.135 | Message: [00493706] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 6220 <br/>
Date: 2017/04/13 13:47:54.766 | Message: [00493706] | Parsed transaction count: 299 <br/>
Date: 2017/04/13 13:47:55.004 | Message: [00493706] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 6519 <br/>
Date: 2017/04/13 13:47:58.186 | Message: [00493706] | Parsed transaction count: 298 <br/>
Date: 2017/04/13 13:47:58.412 | Message: [00493706] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 6817 <br/>
Date: 2017/04/13 13:48:01.449 | Message: [00493706] | Parsed transaction count: 295 <br/>
Date: 2017/04/13 13:48:01.679 | Message: [00493706] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 7112 <br/>
Date: 2017/04/13 13:48:06.590 | Message: [00493706] | Parsed transaction count: 298 <br/>
Date: 2017/04/13 13:48:06.825 | Message: [00493706] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 7410 <br/>
Date: 2017/04/13 13:48:10.525 | Message: [00493706] | Parsed transaction count: 296 <br/>
Date: 2017/04/13 13:48:10.778 | Message: [00493706] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 7706 <br/>
Date: 2017/04/13 13:48:16.366 | Message: [00493706] | Parsed transaction count: 295 <br/>
Date: 2017/04/13 13:48:16.614 | Message: [00493706] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 8001 <br/>
Date: 2017/04/13 13:48:22.719 | Message: [00493706] | Parsed transaction count: 298 <br/>
Date: 2017/04/13 13:48:22.949 | Message: [00493706] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 8299 <br/>
Date: 2017/04/13 13:48:26.158 | Message: [00493706] | Parsed transaction count: 298 <br/>
Date: 2017/04/13 13:48:26.394 | Message: [00493706] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 8597 <br/>
Date: 2017/04/13 13:48:26.953 | Message: [00493706] | Parsed transaction count: 300 <br/>
Date: 2017/04/13 13:48:26.953 | Message: [00493706] | There are 215 invalid transactions: <br/>
Date: 2017/04/13 13:48:26.953 | Message: [00493706] | PayerId: 33441250 | Price: 300000 | Keywords: #2201160#,#2282#,#??? ???????? ??i??????????  ?? ???????2015?.??i??? ???.?84 ?i? 05.02.2015?.# <br/>
Date: 2017/04/13 13:48:26.953 | Message: [00493706] | PayerId: 34492201 | Price: 2260719 | Keywords: * 101 34492201 ???? 2201160 ???? 2282- 22607.19 ?i??????????? ??? ??12 ?-?? 2015?. <br/>
Date: 2017/04/13 13:48:26.953 | Message: [00493706] | PayerId: 34492238 | Price: 235665 | Keywords: #2201160#,#2282#,#?i??????????? ??? ?????????? ??i??????????#,#??.?????????? ????????i? ? ??????? ?? ?????? ????i??? ?? ??????? 2015?.#,#???? 25010200# <br/>
Date: 2017/04/13 13:48:26.953 | Message: [00493706] | PayerId: 33935089 | Price: 5887 | Keywords: #2201150#,#2282#,# ?i??????????? ???#,#??i??? ?????????i ????????ii ? ??????? ?? ?????? ????i??? ?? ??????? 2015 ?.#,## <br/>
Date: 2017/04/13 13:48:26.957 | Message: [00493706] | PayerId: 33295386 | Price: 3461 | Keywords: 2201150  2282  ????????????? ???  ?? 12.2015?.  ??? ???. <br/>
Date: 2017/04/13 13:48:26.957 | Message: [00493706] | PayerId: 33295449 | Price: 9559 | Keywords: 00493706 2201150 2282 ?i??????????? ??? ?? ??????? 2015?.?????????? ?? ???I? ??????? ??? ?????i? 25010200# <br/>
Date: 2017/04/13 13:48:26.957 | Message: [00493706] | PayerId: 35077585 | Price: 414 | Keywords: * 110 35077585   ?i??????????? ??? ?????????? ??i?????????? ?? ??????? 2015 ??. ?????. ????????i? ??? ???   2201150 2282 <br/>
Date: 2017/04/13 13:48:26.957 | Message: [00493706] | PayerId: 33295386 | Price: 2000 | Keywords: 2201150  2282  ????????????? ???  ???????? ?? 01.2016?.  ??? ???. <br/>
Date: 2017/04/13 13:48:26.957 | Message: [00493706] | PayerId: 37414016 | Price: 155971 | Keywords: #090201#,#2730#,#????.???.??.??.?? ?i?.(???.???)???.?-?? ?.????? ?? ?????????i#,#????.?? ??? "?".?-??15/26.01.16,???/28.01.16#,#? ?.?.???-259,95# <br/>
Date: 2017/04/13 13:48:26.957 | Message: [00493706] | PayerId: 37414016 | Price: 219327 | Keywords: #090215#,#2730#,#????.???.???.?? ??.????.?i???.???????i?.?i?.? ???.?-?i ?.?????#,#????.?? ??? "?".?-??15/26.01.16,???/28.01.16#,#? ?.?.???-365,55# <br/>
Date: 2017/04/13 13:48:26.957 | Message: [00493706] | PayerId: 37414016 | Price: 84532 | Keywords: #090405#,#2730#,#????.???.??.???.?? ??.????.???.?????.????.? ???.?-?i ?.?????#,#????.?? ??? "?".?/??15/26.01.16,???/29.01.16#,#? ?.?.???-140,89# <br/>
Date: 2017/04/13 13:48:26.957 | Message: [00493706] | PayerId: 33441250 | Price: 490000 | Keywords: 2201160 2282 ??? ???????? ?? ?i???? 2016?. ??i??? ?????? ?84 ?i? 05,02.2015? <br/>
Date: 2017/04/13 13:48:26.957 | Message: [00493706] | PayerId: 33441250 | Price: 9075 | Keywords: 2201160 2282 ??? ???????? ?? ??????? 2015?. ??i??? ?????? ?84 ?i? 05,02.2015? <br/>
Date: 2017/04/13 13:48:26.957 | Message: [00493706] | PayerId: 34492201 | Price: 1564 | Keywords: * 101 34492201 ???? 2201160 ???? 2282- 1564.00 ?i??????????? ??? ?? 1 ?-?? 2016?. <br/>
Date: 2017/04/13 13:48:26.957 | Message: [00493706] | PayerId: 37414016 | Price: 1024088 | Keywords: #2501200#,#2730#,#???????.???? ???.?i?????.?? ????.???????. ?????? ??  27.01.16#,#??? ???#,#???.110# <br/>
Date: 2017/04/13 13:48:26.957 | Message: [00493706] | PayerId: 33295386 | Price: 1721 | Keywords: 2201150  2282  ????????????? ???   ?? 01.2016?.  ??? ???. <br/>
Date: 2017/04/13 13:48:26.957 | Message: [00493706] | PayerId: 34492238 | Price: 22842 | Keywords: 2201160  2282 ?i??????????? ??? ?????????? ??i?????????? ??.?????????? ????????i? ? ??????? ?? ?????? ????i??? ?? ?i???? 2016?. ???? 25010200. <br/>
Date: 2017/04/13 13:48:26.957 | Message: [00493706] | PayerId: 37414016 | Price: 74772 | Keywords: #090207#,#2730#,#????.???.????.???.?? ?i????? (????) ? ?????i??.?-?i ?.?????#,#????.?? ??? "?".?-??23/22.02.16,???/25.02.16#,#? ?.?.???-124,62# <br/>
Date: 2017/04/13 13:48:26.957 | Message: [00493706] | PayerId: 33935089 | Price: 3125 | Keywords: 2201150 2282  ?i??????????? ??? ??i??? ?????????i ????????ii ? ??????? ?? ?????? ????i??? ?? ?i???? 2016 ?.  . <br/>
Date: 2017/04/13 13:48:26.957 | Message: [00493706] | PayerId: 33295386 | Price: 2000 | Keywords: 2201150  2282  ????????????? ???  ???????? ?? 02.2016?.  ??? ???. <br/>
Date: 2017/04/13 13:48:26.957 | Message: [00493706] | PayerId: 00496834 | Price: 1592192 | Keywords: 6591060 2281 ?????????? ??? ??i???? ????i? ???.17/2016-30 ?i? 02.03.16 ??? ? 26-? ?i? 03.03.16 ? ?.?.??? 2653,65 <br/>
