Date: 2017-04-19 14:51:45 | Message: [02066747] | Rebuild taks was started.
Date: 2017-04-19 14:51:45 | Message: [02066747] | Import task status will be changed from Finished to InProgress
Date: 2017-04-19 14:51:45 | Message: [02066747] | Request: StartDate: 7/1/2016, ToDate: 4/10/2017, Offset: 0
Date: 2017-04-19 14:51:53 | Message: [02066747] | Parsed transaction count: 300
Date: 2017-04-19 14:51:53 | Message: [02066747] | Request: StartDate: 7/1/2016, ToDate: 4/10/2017, Offset: 300
Date: 2017-04-19 14:51:56 | Message: [02066747] | Parsed transaction count: 300
Date: 2017-04-19 14:51:57 | Message: [02066747] | Request: StartDate: 7/1/2016, ToDate: 4/10/2017, Offset: 600
Date: 2017-04-19 14:51:58 | Message: [02066747] | Parsed transaction count: 300
Date: 2017-04-19 14:51:58 | Message: [02066747] | Request: StartDate: 7/1/2016, ToDate: 4/10/2017, Offset: 900
Date: 2017-04-19 14:52:03 | Message: [02066747] | Parsed transaction count: 300
Date: 2017-04-19 14:52:03 | Message: [02066747] | Request: StartDate: 7/1/2016, ToDate: 4/10/2017, Offset: 1200
Date: 2017-04-19 14:52:08 | Message: [02066747] | Parsed transaction count: 300
Date: 2017-04-19 14:52:08 | Message: [02066747] | Request: StartDate: 7/1/2016, ToDate: 4/10/2017, Offset: 1500
Date: 2017-04-19 14:52:08 | Message: [02066747] | Parsed transaction count: 234
Date: 2017-04-19 14:52:08 | Message: [02066747] | There are 171 invalid transactions:
Date: 2017-04-19 14:52:08 | Message: [02066747] | PayerId: 03192454 | Price: 28933317 | 007.org Id: 25557875
Date: 2017-04-19 14:52:08 | Message: [02066747] | PayerId: 37819430 | Price: 665118 | 007.org Id: 25799190
Date: 2017-04-19 14:52:08 | Message: [02066747] | PayerId: 05540712 | Price: 29384 | 007.org Id: 25785742
Date: 2017-04-19 14:52:08 | Message: [02066747] | PayerId: 05540712 | Price: 4252 | 007.org Id: 25782837
Date: 2017-04-19 14:52:08 | Message: [02066747] | PayerId: 34893684 | Price: 40507 | 007.org Id: 26079722
Date: 2017-04-19 14:52:08 | Message: [02066747] | PayerId: 00019413 | Price: 4350 | 007.org Id: 26263408
Date: 2017-04-19 14:52:08 | Message: [02066747] | PayerId: 21930588 | Price: 5216 | 007.org Id: 26781098
Date: 2017-04-19 14:52:08 | Message: [02066747] | PayerId: 21930588 | Price: 3262 | 007.org Id: 26781573
Date: 2017-04-19 14:52:08 | Message: [02066747] | PayerId: 24993017 | Price: 77894 | 007.org Id: 26869138
Date: 2017-04-19 14:52:08 | Message: [02066747] | PayerId: 24993017 | Price: 24427 | 007.org Id: 26871727
Date: 2017-04-19 14:52:08 | Message: [02066747] | PayerId: 04601908 | Price: 642145 | 007.org Id: 26953124
Date: 2017-04-19 14:52:08 | Message: [02066747] | PayerId: 04601908 | Price: 209893 | 007.org Id: 26932827
Date: 2017-04-19 14:52:08 | Message: [02066747] | PayerId: 39715221 | Price: 161597 | 007.org Id: 27067409
Date: 2017-04-19 14:52:08 | Message: [02066747] | PayerId: 39715221 | Price: 257 | 007.org Id: 27068843
Date: 2017-04-19 14:52:08 | Message: [02066747] | PayerId: 39715221 | Price: 95091 | 007.org Id: 27068950
Date: 2017-04-19 14:52:08 | Message: [02066747] | PayerId: 36959778 | Price: 2765 | 007.org Id: 27165378
Date: 2017-04-19 14:52:08 | Message: [02066747] | PayerId: 36959778 | Price: 944 | 007.org Id: 27154717
Date: 2017-04-19 14:52:08 | Message: [02066747] | PayerId: 36959778 | Price: 15662 | 007.org Id: 27458140
Date: 2017-04-19 14:52:08 | Message: [02066747] | PayerId: 37819430 | Price: 1006556 | 007.org Id: 27480161
