Date: 2017/04/13 14:13:58.512 | Message: [02070743] | Index taks was started.
Date: 2017/04/13 14:13:58.552 | Message: [02070743] | Import task status will be changed from Failed to InProgress
Date: 2017/04/13 14:13:58.552 | Message: [02070743] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 0
Date: 2017/04/13 14:14:05.634 | Message: [02070743] | Parsed transaction count: 300
Date: 2017/04/13 14:14:05.881 | Message: [02070743] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 600
Date: 2017/04/13 14:14:13.496 | Message: [02070743] | Parsed transaction count: 300
Date: 2017/04/13 14:14:13.741 | Message: [02070743] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 900
Date: 2017/04/13 14:14:15.768 | Message: [02070743] | Parsed transaction count: 300
Date: 2017/04/13 14:14:16.009 | Message: [02070743] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 1200
Date: 2017/04/13 14:14:18.505 | Message: [02070743] | Parsed transaction count: 300
Date: 2017/04/13 14:14:18.823 | Message: [02070743] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 1500
Date: 2017/04/13 14:14:21.840 | Message: [02070743] | Parsed transaction count: 300
Date: 2017/04/13 14:14:22.102 | Message: [02070743] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 1800
Date: 2017/04/13 14:14:26.100 | Message: [02070743] | Parsed transaction count: 300
Date: 2017/04/13 14:14:26.369 | Message: [02070743] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 2100
Date: 2017/04/13 14:14:29.435 | Message: [02070743] | Parsed transaction count: 300
Date: 2017/04/13 14:14:29.667 | Message: [02070743] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 2400
Date: 2017/04/13 14:14:34.434 | Message: [02070743] | Parsed transaction count: 300
Date: 2017/04/13 14:14:34.680 | Message: [02070743] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 2700
Date: 2017/04/13 14:14:38.768 | Message: [02070743] | Parsed transaction count: 300
Date: 2017/04/13 14:14:39.016 | Message: [02070743] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 3000
Date: 2017/04/13 14:15:56.454 | Message: [02070743] | Import taks was started.
Date: 2017/04/13 14:16:13.788 | Message: [02070743] | Import task status will be changed from Failed to InProgress
Date: 2017/04/13 14:16:13.788 | Message: [02070743] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 0
Date: 2017/04/13 14:16:14.493 | Message: [02070743] | Parsed transaction count: 300
Date: 2017/04/13 14:16:23.930 | Message: [02070743] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 300
Date: 2017/04/13 14:16:24.518 | Message: [02070743] | Parsed transaction count: 300
Date: 2017/04/13 14:16:29.986 | Message: [02070743] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 600
Date: 2017/04/13 14:16:30.581 | Message: [02070743] | Parsed transaction count: 300
Date: 2017/04/13 14:16:34.170 | Message: [02070743] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 900
Date: 2017/04/13 14:16:34.563 | Message: [02070743] | Parsed transaction count: 300
Date: 2017/04/13 14:16:34.867 | Message: [02070743] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 1200
Date: 2017/04/13 14:16:35.170 | Message: [02070743] | Parsed transaction count: 300
Date: 2017/04/13 14:16:35.410 | Message: [02070743] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 1500
Date: 2017/04/13 14:16:35.652 | Message: [02070743] | Parsed transaction count: 300
Date: 2017/04/13 14:16:35.886 | Message: [02070743] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 1800
Date: 2017/04/13 14:16:36.135 | Message: [02070743] | Parsed transaction count: 300
Date: 2017/04/13 14:16:36.539 | Message: [02070743] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 2100
Date: 2017/04/13 14:16:36.849 | Message: [02070743] | Parsed transaction count: 300
Date: 2017/04/13 14:16:37.078 | Message: [02070743] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 2400
Date: 2017/04/13 14:16:37.360 | Message: [02070743] | Parsed transaction count: 300
Date: 2017/04/13 14:16:37.605 | Message: [02070743] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 2700
Date: 2017/04/13 14:16:37.917 | Message: [02070743] | Parsed transaction count: 300
Date: 2017/04/13 14:16:38.156 | Message: [02070743] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 3000
Date: 2017/04/13 14:16:38.592 | Message: [02070743] | Parsed transaction count: 300
Date: 2017/04/13 14:16:38.836 | Message: [02070743] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 3300
Date: 2017/04/13 14:16:43.263 | Message: [02070743] | Parsed transaction count: 300
Date: 2017/04/13 14:16:43.513 | Message: [02070743] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 3600
Date: 2017/04/13 14:16:49.618 | Message: [02070743] | Parsed transaction count: 300
Date: 2017/04/13 14:16:49.939 | Message: [02070743] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 3900
Date: 2017/04/13 14:16:50.389 | Message: [02070743] | Parsed transaction count: 300
Date: 2017/04/13 14:16:50.389 | Message: [02070743] | There are 117 invalid transactions:
Date: 2017/04/13 14:16:50.389 | Message: [02070743] | PayerId: 00220026 | Price: 1996 | Keywords: 2201150  2282  ??? ?? ??????? 2015?  ????.
Date: 2017/04/13 14:16:50.389 | Message: [02070743] | PayerId: 37936856 | Price: 670 | Keywords: 3504010 2111 ?? ???????? i? ???????? ?? ?i????2016?. ?? ??????? ?.?.,i?? 3521802067 ??.???????? 1434/ I??-14 ?i? 05.08.2014?
Date: 2017/04/13 14:16:50.389 | Message: [02070743] | PayerId: 03192454 | Price: 170 | Keywords: 2501200  2730  ????.???????  ????????? ???????? ?????.?????? ?? ???? ?? 12.2015?.  ??? ???.
Date: 2017/04/13 14:16:50.389 | Message: [02070743] | PayerId: 03192460 | Price: 17112 | Keywords: #090215#2730#171,12#?????? ????. 2015?.#????????? ??????20-11.01.05?.?? ???????"?" ??.? 125-05.01.15?.??.01.01.16?.#???.???- 28,52??.#
Date: 2017/04/13 14:16:50.389 | Message: [02070743] | PayerId: 03192460 | Price: 2048 | Keywords: #090215#2730#20,48#??????  ?????.????. 2015?.#????????? ??????20-11.01.05?.?? ???????"?" ??.? 125--05.01.15?.??.01.01.16?.#???.???- 3,41??.#
Date: 2017/04/13 14:16:50.389 | Message: [02070743] | PayerId: 03192460 | Price: 672 | Keywords: #090215#2730#67,20#??????  ?????.?????. 2015?.#????????? ??????20-11.01.05?.?? ???????"?" ??.? 125--05.01.15?.??.01.01.15?.#???.???- 11,20 ??.#
Date: 2017/04/13 14:16:50.389 | Message: [02070743] | PayerId: 03192460 | Price: 6138 | Keywords: #090215#2730#61,38#??????  ??/??. 2015?.#????????? ??????20-11.01.05?.?? ???????"?" ??.?125 -05.01.15?.??.01.01.16?.#???.???- 10,23 ??.#
Date: 2017/04/13 14:16:50.389 | Message: [02070743] | PayerId: 03192454 | Price: 5125 | Keywords: #090201#,#2730#,#512,50#,#? ?? ??? ?? 11-12.15 ?.#,#??.??.?1 ??? 01.01.15 ?. ?? ????.????? 20 ??? 11.01.05 (?? ???????)#,#???-85,42#
Date: 2017/04/13 14:16:50.389 | Message: [02070743] | PayerId: 03192454 | Price: 570087 | Keywords: #090405#,#2730#,#5700.87#,#? ?? ??? ?? 11-12.15?.#,# ??.??.?1 ??? 01.01.15  ????.????? ?20 ???11.01.05.(?? ???????)#,# ???- 950.15#
Date: 2017/04/13 14:16:50.389 | Message: [02070743] | PayerId: 03192454 | Price: 33224 | Keywords: #090405#,#2730#,#332.24#,#? ?? ??? ?? 11-12.15?.#,# ??.??.?1 ??? 01.01.15  ????.????? ?20 ???11.01.05.(?? ???????)#,# ???- 55.37#
Date: 2017/04/13 14:16:50.389 | Message: [02070743] | PayerId: 03192454 | Price: 170 | Keywords: 2501200  2730  ????.???????  ????????? ???????? ?????.?????? ?? ???? ?? 12.2015?.   ??? ???.
Date: 2017/04/13 14:16:50.389 | Message: [02070743] | PayerId: 03192454 | Price: 170 | Keywords: 2501200  2730  ????.???????  ????????? ???????? ?????.?????? ?? ???? ?? 01.2016?.   ??? ???.
Date: 2017/04/13 14:16:50.389 | Message: [02070743] | PayerId: 03192454 | Price: 687013 | Keywords: 090405  2730  ? ?? ??? ?? 12.15?.  ??.??.?1 ??? 01.01.15  ????.????? ?20 ???11.01.05.(?? ???????)  ???- 1145,02
Date: 2017/04/13 14:16:50.389 | Message: [02070743] | PayerId: 03192460 | Price: 227128 | Keywords: 090405 2730 ???. ????.2015?. ????????? ????? ?20-11.01.05?.?? ???????"?".???150 -05.01.15 ??? ??.-01.01.16 ?. ? ?.?.???-378,55.
Date: 2017/04/13 14:16:50.389 | Message: [02070743] | PayerId: 37936856 | Price: 670 | Keywords: 3504010 2111 ?? ???????? i? ???????? ?? ?????2016?. ?? ??????? ?.?.,i?? 3521802067 ??.???????? 1434/ I??-14 ?i? 05.08.2014?
Date: 2017/04/13 14:16:50.389 | Message: [02070743] | PayerId: 02071151 | Price: 60000 | Keywords: 2201160  2282  ?? ???????-????i??i ?? ????????i??i ??????  ????1 ?i? 01.03.16?.  ???.?020208 ?i? 20.01.16?. ??? 10000,00.
Date: 2017/04/13 14:16:50.389 | Message: [02070743] | PayerId: 24450096 | Price: 2554129 | Keywords: 070201 2240 ??????? ????? ?? ????? 2016 ???. (01.09.09) ?12/02-3585-??, ???. ????? (11.02.16) ?1, ??? (11.03.16) ?409 ???-4256,88.
Date: 2017/04/13 14:16:50.389 | Message: [02070743] | PayerId: 00220026 | Price: 2995 | Keywords: 2201150  2282  ??? ?? ?i???? 2016?  ????.
Date: 2017/04/13 14:16:50.389 | Message: [02070743] | PayerId: 24450096 | Price: 554301 | Keywords: 070201 2240 ??????? ????? ?? ????? 2016 ???. (01.09.09) ?12/02-3585-??, ???. ????? (11.02.16) ?1, ??? (11.03.16) ?409 ???-923,84.
Date: 2017/04/13 14:16:50.389 | Message: [02070743] | PayerId: 24450096 | Price: 40392 | Keywords: 070201 2240 ????. ??????? ???????? ?? ?????????????? ??????? ?? ????? 2016 ???.(01.09.10) ?12/02-3585-??, ???.??.(18.01.16) ?5, ??? (11.03.16) ?411 ??? ???.
Date: 2017/04/13 14:16:50.389 | Message: [02070743] | PayerId: 24450096 | Price: 3532 | Keywords: 070201 2240 ????. ??????? ???????? ?? ?????????????? ??????? ?? ????? 2016 ???. (22.12.11) ?12/02-4721-??, ???.??.(18.01.16) ?8, ??? (11.03.16) ?412 ??? ???.
Date: 2017/04/13 14:16:50.389 | Message: [02070743] | PayerId: 24450096 | Price: 299847 | Keywords: 070201 2240 ??????? ????? ?? ????? 2016 ???. (22.12.11) ?12/02-4721-??, ???. ????? (11.02.16) ?1, ??? (11.03.16) ?410 ???-499,75.
