Date: 2017-04-19 14:11:34 | Message: [02070987] | Import taks was started.
Date: 2017-04-19 14:11:34 | Message: [02070987] | Import task status will be changed from Finished to InProgress
Date: 2017-04-19 14:11:34 | Message: [02070987] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 0
Date: 2017-04-19 14:11:42 | Message: [02070987] | Parsed transaction count: 300
Date: 2017-04-19 14:11:43 | Message: [02070987] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 9169
Date: 2017-04-19 14:12:55 | Message: [02070987] | Parsed transaction count: 0
Date: 2017-04-19 14:12:55 | Message: [02070987] | Task has been successfully finished.
Date: 2017-04-19 14:41:29 | Message: [02070987] | Rebuild taks was started.
Date: 2017-04-19 14:42:02 | Message: [02070987] | Import taks was started.
Date: 2017-04-19 14:42:02 | Message: [02070987] | Import task status will be changed from Finished to InProgress
Date: 2017-04-19 14:42:02 | Message: [02070987] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 0
Date: 2017-04-19 14:42:03 | Message: [02070987] | Parsed transaction count: 300
Date: 2017-04-19 14:42:04 | Message: [02070987] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 9469
Date: 2017-04-19 14:42:59 | Message: [02070987] | Parsed transaction count: 0
Date: 2017-04-19 14:42:59 | Message: [02070987] | Task has been successfully finished.
