Date: 2017/04/13 14:06:26.340 | Message: [02071010] | Index taks was started. <br/>
Date: 2017/04/13 14:06:26.355 | Message: [02071010] | Import task status will be changed from Failed to InProgress <br/>
Date: 2017/04/13 14:06:26.402 | Message: [02071010] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 0 <br/>
Date: 2017/04/13 14:06:36.046 | Message: [02071010] | Parsed transaction count: 300 <br/>
Date: 2017/04/13 14:06:36.596 | Message: [02071010] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 600 <br/>
Date: 2017/04/13 14:06:53.905 | Message: [02071010] | Parsed transaction count: 300 <br/>
Date: 2017/04/13 14:06:54.156 | Message: [02071010] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 900 <br/>
Date: 2017/04/13 14:06:59.314 | Message: [02071010] | Parsed transaction count: 300 <br/>
Date: 2017/04/13 14:06:59.555 | Message: [02071010] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 1200 <br/>
Date: 2017/04/13 14:07:05.349 | Message: [02071010] | Parsed transaction count: 300 <br/>
Date: 2017/04/13 14:07:05.606 | Message: [02071010] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 1500 <br/>
Date: 2017/04/13 14:07:09.043 | Message: [02071010] | Parsed transaction count: 300 <br/>
Date: 2017/04/13 14:07:09.280 | Message: [02071010] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 1800 <br/>
Date: 2017/04/13 14:07:13.457 | Message: [02071010] | Parsed transaction count: 300 <br/>
Date: 2017/04/13 14:07:13.699 | Message: [02071010] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 2100 <br/>
Date: 2017/04/13 14:07:19.188 | Message: [02071010] | Parsed transaction count: 300 <br/>
Date: 2017/04/13 14:07:19.433 | Message: [02071010] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 2400 <br/>
Date: 2017/04/13 14:07:24.261 | Message: [02071010] | Parsed transaction count: 300 <br/>
Date: 2017/04/13 14:07:24.487 | Message: [02071010] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 2700 <br/>
Date: 2017/04/13 14:07:29.814 | Message: [02071010] | Parsed transaction count: 300 <br/>
Date: 2017/04/13 14:07:30.053 | Message: [02071010] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 3000 <br/>
Date: 2017/04/13 14:07:35.047 | Message: [02071010] | Parsed transaction count: 300 <br/>
Date: 2017/04/13 14:07:35.336 | Message: [02071010] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 3300 <br/>
Date: 2017/04/13 14:07:40.641 | Message: [02071010] | Parsed transaction count: 300 <br/>
Date: 2017/04/13 14:07:40.896 | Message: [02071010] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 3600 <br/>
Date: 2017/04/13 14:07:45.862 | Message: [02071010] | Parsed transaction count: 300 <br/>
Date: 2017/04/13 14:07:46.111 | Message: [02071010] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 3900 <br/>
Date: 2017/04/13 14:07:51.155 | Message: [02071010] | Parsed transaction count: 300 <br/>
Date: 2017/04/13 14:07:51.399 | Message: [02071010] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 4200 <br/>
Date: 2017/04/13 14:07:56.770 | Message: [02071010] | Parsed transaction count: 300 <br/>
Date: 2017/04/13 14:07:57.009 | Message: [02071010] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 4500 <br/>
Date: 2017/04/13 14:08:01.071 | Message: [02071010] | Parsed transaction count: 300 <br/>
Date: 2017/04/13 14:08:01.299 | Message: [02071010] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 4800 <br/>
Date: 2017/04/13 14:08:05.711 | Message: [02071010] | Parsed transaction count: 300 <br/>
Date: 2017/04/13 14:08:05.944 | Message: [02071010] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 5100 <br/>
Date: 2017/04/13 14:08:11.140 | Message: [02071010] | Parsed transaction count: 300 <br/>
Date: 2017/04/13 14:08:11.389 | Message: [02071010] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 5400 <br/>
Date: 2017/04/13 14:08:15.831 | Message: [02071010] | Parsed transaction count: 300 <br/>
Date: 2017/04/13 14:08:16.098 | Message: [02071010] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 5700 <br/>
Date: 2017/04/13 14:08:21.576 | Message: [02071010] | Parsed transaction count: 300 <br/>
Date: 2017/04/13 14:08:21.842 | Message: [02071010] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 6000 <br/>
Date: 2017/04/13 14:08:26.262 | Message: [02071010] | Parsed transaction count: 300 <br/>
Date: 2017/04/13 14:08:26.512 | Message: [02071010] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 6300 <br/>
Date: 2017/04/13 14:08:32.294 | Message: [02071010] | Parsed transaction count: 300 <br/>
Date: 2017/04/13 14:08:32.550 | Message: [02071010] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 6600 <br/>
Date: 2017/04/13 14:08:38.294 | Message: [02071010] | Parsed transaction count: 300 <br/>
Date: 2017/04/13 14:08:38.543 | Message: [02071010] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 6900 <br/>
Date: 2017/04/13 14:08:44.524 | Message: [02071010] | Parsed transaction count: 300 <br/>
Date: 2017/04/13 14:08:44.805 | Message: [02071010] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 7200 <br/>
Date: 2017/04/13 14:08:49.906 | Message: [02071010] | Parsed transaction count: 300 <br/>
Date: 2017/04/13 14:08:50.150 | Message: [02071010] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 7500 <br/>
Date: 2017/04/13 14:08:55.998 | Message: [02071010] | Parsed transaction count: 300 <br/>
Date: 2017/04/13 14:08:56.356 | Message: [02071010] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 7800 <br/>
Date: 2017/04/13 14:09:02.175 | Message: [02071010] | Parsed transaction count: 300 <br/>
Date: 2017/04/13 14:09:02.417 | Message: [02071010] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 8100 <br/>
Date: 2017/04/13 14:09:04.662 | Message: [02071010] | Parsed transaction count: 300 <br/>
Date: 2017/04/13 14:09:04.898 | Message: [02071010] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 8400 <br/>
Date: 2017/04/13 14:09:09.001 | Message: [02071010] | Parsed transaction count: 300 <br/>
Date: 2017/04/13 14:09:09.263 | Message: [02071010] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 8700 <br/>
Date: 2017/04/13 14:09:14.743 | Message: [02071010] | Parsed transaction count: 300 <br/>
Date: 2017/04/13 14:09:15.009 | Message: [02071010] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 9000 <br/>
Date: 2017/04/13 14:09:17.355 | Message: [02071010] | Parsed transaction count: 300 <br/>
Date: 2017/04/13 14:09:17.355 | Message: [02071010] | There are 207 invalid transactions: <br/>
Date: 2017/04/13 14:09:17.355 | Message: [02071010] | PayerId: 26144908 | Price: 6327 | Keywords: #091207#.#2730#.#?????. ??????.??????. ?? ??????? ??.?? 01.01.2016?. ??-632,70#.# ??? ??. ?12 ??? 06.01.2016?.# <br/>
Date: 2017/04/13 14:09:17.355 | Message: [02071010] | PayerId: 03363128 | Price: 513875 | Keywords: ??? 2201150  ???? 2282-5138,75  ??????? ?? ?????? ???????? ?? 12.15?. ???????. ????.* 242 02071010. <br/>
Date: 2017/04/13 14:09:17.355 | Message: [02071010] | PayerId: 20544802 | Price: 633 | Keywords: * 242  ????? 2201150#2282#2800-633,00#??? ?????? 02071010.??? ??????? 14010100.??? ?? ?????? 2016?. ?????? ?????????? ?????????? ? ???. <br/>
Date: 2017/04/13 14:09:17.355 | Message: [02071010] | PayerId: 03450726 | Price: 406761 | Keywords: * 242 2282-4067,61??? ??? ?? 12.15 ?? "????????? ???????????" 02071010 <br/>
Date: 2017/04/13 14:09:17.355 | Message: [02071010] | PayerId: 03363128 | Price: 144 | Keywords: 2201150  2282-14,40   ?? ??????? ?? ???????.????.?1-261 ??? 20.01.16?.??.?2 ??? 20.01.16?.??? ???. <br/>
Date: 2017/04/13 14:09:17.355 | Message: [02071010] | PayerId: 38872762 | Price: 12344 | Keywords: 2201310 2272 ?i??????????? ?? ?????????????? ?? ??????? 2015?.???.36 ?i? 25,01,2016?.  ???.84?  ??? ???. <br/>
Date: 2017/04/13 14:09:17.355 | Message: [02071010] | PayerId: 38872762 | Price: 359598 | Keywords: 2201310  2274 ?i??????????? ?? ??? ?? ??????? 2015?. ???.38 ?i?  25,01,2016?. ???.84?  ??? ???. <br/>
Date: 2017/04/13 14:09:17.355 | Message: [02071010] | PayerId: 38872762 | Price: 435208 | Keywords: 2201310  2273  ?i??????????? ?? ?????????.?? ??????? 2015?. ???.35 ?i? 25,01,2016?.  ???.84? ??? ???. <br/>
Date: 2017/04/13 14:09:17.355 | Message: [02071010] | PayerId: 26144908 | Price: 139613 | Keywords: #090215#,#2730#,#?????. ??????. ??????. ?? ??????? ??. ?? 01.01.16?. ??-230,00,????-90,00,??-100,00 ?-??-976,13#,#??? ??.?12 ??? 06.01.2016?.# <br/>
Date: 2017/04/13 14:09:17.355 | Message: [02071010] | PayerId: 26144908 | Price: 29468 | Keywords: #090201#,#2730#.#?????. ??????. ??????.?? ??????? ??.??01.01.2016?.??-54,18,????-40,50,?-??-200,00#.#??? ??. ?12 ??? 06.01.2016?.# <br/>
Date: 2017/04/13 14:09:17.355 | Message: [02071010] | PayerId: 26144908 | Price: 162548 | Keywords: #090215#,#2730#,#?????. ??????. ??????. ?? ??????? ??. ?? 01.01.16?. ??-288,88, ????-91,16, ??-174,92,?-??-1070,52#,#??? ??.?12 ??? 06.01.2016?.# <br/>
Date: 2017/04/13 14:09:17.355 | Message: [02071010] | PayerId: 26144908 | Price: 901407 | Keywords: #090405#,#2730#,#?????.??????.??????.?? ??????.??.?? 01.01.16?.#.#??????????12??? 06.01.16?.?-??-1501,98,?-?-5817,55,?-?-835,04,?-?-859,50# <br/>
Date: 2017/04/13 14:09:17.355 | Message: [02071010] | PayerId: 26144908 | Price: 614907 | Keywords: #090405#,#2730#,#?????.??????.??????.?? ??????.??.?? 01.01.16?.#.#??????????12??? 06.01.16?.?-??-718,02,?-?442,50,?-?-399,96,?-?-4588,59# <br/>
Date: 2017/04/13 14:09:17.355 | Message: [02071010] | PayerId: 26144908 | Price: 66479 | Keywords: #090201#,#2730#.#?????. ??????. ??????.?? ??????? ??.??01.01.2016?.??-54,18, ????-41,34, ??-97,89, ?-??-471,38#.#??? ??. ?12 ??? 06.01.2016?.# <br/>
Date: 2017/04/13 14:09:17.355 | Message: [02071010] | PayerId: 08571995 | Price: 46491 | Keywords: 1001080  2210-4649,10  ?? ?????? ????????, ???????? ?? ????????  ?????? ???101-00001 ???101-00001 ??02/16-01 ??? 02.02.16?.  ???-774,85. <br/>
Date: 2017/04/13 14:09:17.355 | Message: [02071010] | PayerId: 03450726 | Price: 376771 | Keywords: * 242 ????:2282-3767,71??? ??? ?? 01.16 ?? "????????? ???????????" 02071010 <br/>
Date: 2017/04/13 14:09:17.363 | Message: [02071010] | PayerId: 38627339 | Price: 4575 | Keywords: 1006280  2240  ??????? ? ????i????? ??????? i??????i?  ???.?389/2-16 ?i? 09.02.16?.?.?.?.?/? ?i? 09.02.16.  ??? ???. <br/>
Date: 2017/04/13 14:09:17.363 | Message: [02071010] | PayerId: 02070938 | Price: 325 | Keywords: 2201160  3210  ????? ??? ????????????? ?????  ???.?01-10 ??? 02.02.16, ????.??101-002 ??? 02.02.16  ??? ???. <br/>
Date: 2017/04/13 14:09:17.363 | Message: [02071010] | PayerId: 26094903 | Price: 3531 | Keywords: 2501200 2730-3531.00  ????????? ????????? ?????????? ??? ???? ??. ?????????? ?? c?????-????? 2016?. <br/>
Date: 2017/04/13 14:09:17.363 | Message: [02071010] | PayerId: 00019413 | Price: 6890 | Keywords: 2201080  2730  ?????? ??? ?? ?i????-3 ???.,  ?????- 2???., ?????  ???. ?22 ?i? 25.12.2015 ?. , ????????? ??? ?i? 27.08.08 ?757 <br/>
Date: 2017/04/13 14:09:17.363 | Message: [02071010] | PayerId: 08571995 | Price: 650 | Keywords: 1001080  2240-650,00  ?? ??????? ????????? 01.16?.  ?????? ??4 ??? 05.02.16?. ??151/14 ??? 13.03.14?.  ???-108,33. <br/>
Date: 2017/04/13 14:09:17.363 | Message: [02071010] | PayerId: 38008357 | Price: 420 | Keywords: 2201150 2282-420,00 ?????? ?? ?????.?? ?????.??????  ???.?101-16/02-01 ??? 08.02.2016 ???.?101-005 ????.?101-065 ??? 08.02.2016 ??? ???. <br/>
Date: 2017/04/13 14:09:17.363 | Message: [02071010] | PayerId: 26144908 | Price: 18041 | Keywords: #091207#.#2730#.#?????. ??????.??????. ?? ??????? ??.?? 01.02.2016?. ??-180,41#.# ??? ??. ?1 ??? 05.02.2016?.# <br/>
Date: 2017/04/13 14:09:17.363 | Message: [02071010] | PayerId: 20544802 | Price: 4367 | Keywords: * 242  ????? 2201150#2282#2800-4367,00#??? ?????? 02071010.??? ??????? 14010100.??? ?? ?????? 2016?. ?????? ?????????? ?????????? ? ??? <br/>
Date: 2017/04/13 14:09:17.363 | Message: [02071010] | PayerId: 20544802 | Price: 1381 | Keywords: * 242  ????? 2201150#2282#2800-1381,00#??? ?????? 02071010.??? ??????? 14010100.??? ?? ?????? 2016?. ?????? ?????????? ?????????? ? ??? <br/>
Date: 2017/04/13 14:09:17.363 | Message: [02071010] | PayerId: 03363128 | Price: 513875 | Keywords: 2201150  2282-5138,75  ??????? ?? ?????? ????i??? ?? 01.16?.???????. ????.*  242 02071010. <br/>
Date: 2017/04/13 14:09:17.363 | Message: [02071010] | PayerId: 03450726 | Price: 1000 | Keywords: # 2201150#,#2282-1000,00#,# ?? ???????? "?????????" .#,#???.??.?????3 ??? 15.02.16,???.?3 ??? 15.02.16#,#???-99,00???# <br/>
Date: 2017/04/13 14:09:17.363 | Message: [02071010] | PayerId: 04370314 | Price: 2556 | Keywords: #150121#,#3142#,#?? ?????? ??????? ??? ????????.??? ? ???.????????#,#?? ???.?393 ??? 10.02.16 ?? ???? ???.???.?1 ??? 17.02.16#,#? ?.?.???-426,00# <br/>
Date: 2017/04/13 14:09:17.363 | Message: [02071010] | PayerId: 01287452 | Price: 35000 | Keywords: #110103#,#2610#,#???????? ?????? ?? ??????????????? ?? ?????? ?-?? 2016?.#,#?????? ???.?19 ??? 11.02.16?.#,#??? ???# <br/>
