Date: 2017/04/13 14:11:08.352 | Message: [02071205] | Index taks was started.
Date: 2017/04/13 14:11:08.352 | Message: [02071205] | Import task status will be changed from Failed to InProgress
Date: 2017/04/13 14:11:08.352 | Message: [02071205] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 0
Date: 2017/04/13 14:11:17.314 | Message: [02071205] | Parsed transaction count: 300
Date: 2017/04/13 14:11:17.619 | Message: [02071205] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 900
Date: 2017/04/13 14:11:36.197 | Message: [02071205] | Parsed transaction count: 300
Date: 2017/04/13 14:11:36.468 | Message: [02071205] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 1200
Date: 2017/04/13 14:11:42.221 | Message: [02071205] | Parsed transaction count: 300
Date: 2017/04/13 14:11:42.488 | Message: [02071205] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 1500
Date: 2017/04/13 14:11:48.083 | Message: [02071205] | Parsed transaction count: 300
Date: 2017/04/13 14:11:48.329 | Message: [02071205] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 1800
Date: 2017/04/13 14:11:52.076 | Message: [02071205] | Parsed transaction count: 300
Date: 2017/04/13 14:11:52.353 | Message: [02071205] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 2100
Date: 2017/04/13 14:11:57.602 | Message: [02071205] | Parsed transaction count: 300
Date: 2017/04/13 14:11:57.889 | Message: [02071205] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 2400
Date: 2017/04/13 14:12:01.202 | Message: [02071205] | Parsed transaction count: 300
Date: 2017/04/13 14:12:01.485 | Message: [02071205] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 2700
Date: 2017/04/13 14:12:06.687 | Message: [02071205] | Parsed transaction count: 300
Date: 2017/04/13 14:12:07.102 | Message: [02071205] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 3000
Date: 2017/04/13 14:12:10.599 | Message: [02071205] | Parsed transaction count: 300
Date: 2017/04/13 14:12:10.867 | Message: [02071205] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 3300
Date: 2017/04/13 14:12:16.345 | Message: [02071205] | Parsed transaction count: 300
Date: 2017/04/13 14:12:16.904 | Message: [02071205] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 3600
Date: 2017/04/13 14:12:21.475 | Message: [02071205] | Parsed transaction count: 300
Date: 2017/04/13 14:12:21.777 | Message: [02071205] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 3900
Date: 2017/04/13 14:12:26.061 | Message: [02071205] | Parsed transaction count: 300
Date: 2017/04/13 14:12:26.291 | Message: [02071205] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 4200
Date: 2017/04/13 14:12:30.943 | Message: [02071205] | Parsed transaction count: 300
Date: 2017/04/13 14:12:31.182 | Message: [02071205] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 4500
Date: 2017/04/13 14:12:37.151 | Message: [02071205] | Parsed transaction count: 300
Date: 2017/04/13 14:12:37.406 | Message: [02071205] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 4800
Date: 2017/04/13 14:12:43.055 | Message: [02071205] | Parsed transaction count: 300
Date: 2017/04/13 14:12:43.295 | Message: [02071205] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 5100
Date: 2017/04/13 14:12:49.184 | Message: [02071205] | Parsed transaction count: 300
Date: 2017/04/13 14:12:49.453 | Message: [02071205] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 5400
Date: 2017/04/13 14:12:54.189 | Message: [02071205] | Parsed transaction count: 300
Date: 2017/04/13 14:12:54.438 | Message: [02071205] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 5700
Date: 2017/04/13 14:12:59.051 | Message: [02071205] | Parsed transaction count: 300
Date: 2017/04/13 14:12:59.290 | Message: [02071205] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 6000
Date: 2017/04/13 14:13:03.951 | Message: [02071205] | Parsed transaction count: 300
Date: 2017/04/13 14:13:04.188 | Message: [02071205] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 6300
Date: 2017/04/13 14:13:05.162 | Message: [02071205] | Parsed transaction count: 300
Date: 2017/04/13 14:13:05.387 | Message: [02071205] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 6600
Date: 2017/04/13 14:13:06.661 | Message: [02071205] | Parsed transaction count: 300
Date: 2017/04/13 14:13:06.891 | Message: [02071205] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 6900
Date: 2017/04/13 14:13:08.198 | Message: [02071205] | Parsed transaction count: 300
Date: 2017/04/13 14:13:08.424 | Message: [02071205] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 7200
Date: 2017/04/13 14:13:12.738 | Message: [02071205] | Parsed transaction count: 300
Date: 2017/04/13 14:13:12.996 | Message: [02071205] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 7500
Date: 2017/04/13 14:13:17.684 | Message: [02071205] | Parsed transaction count: 300
Date: 2017/04/13 14:13:17.922 | Message: [02071205] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 7800
Date: 2017/04/13 14:13:22.097 | Message: [02071205] | Parsed transaction count: 300
Date: 2017/04/13 14:13:22.358 | Message: [02071205] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 8100
Date: 2017/04/13 14:13:26.880 | Message: [02071205] | Parsed transaction count: 300
Date: 2017/04/13 14:13:27.145 | Message: [02071205] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 8400
Date: 2017/04/13 14:13:58.569 | Message: [02071205] | Parsed transaction count: 300
Date: 2017/04/13 14:13:58.814 | Message: [02071205] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 8700
Date: 2017/04/13 14:13:59.559 | Message: [02071205] | Parsed transaction count: 300
Date: 2017/04/13 14:13:59.559 | Message: [02071205] | There are 254 invalid transactions:
Date: 2017/04/13 14:13:59.559 | Message: [02071205] | PayerId: 34390710 | Price: 5 | Keywords: #0501020#,#2240#,#??????? ????? ?? 2016?.??.???.?????? N5055-? ?i? 30.11.2011?.#,#??? ???.#
Date: 2017/04/13 14:13:59.559 | Message: [02071205] | PayerId: 34390710 | Price: 5 | Keywords: #0501020#,#2240#,#??????? ????? ?? 2016?.??.???.?????? N4925-? ?i? 08.06.2011?.#,#??? ???.#
Date: 2017/04/13 14:13:59.559 | Message: [02071205] | PayerId: 02146446 | Price: 1000 | Keywords: #070807#,#2730#,#??????? ???????i?  ?? ?i???? 2016?. ????? ?.?.25020200#
Date: 2017/04/13 14:13:59.559 | Message: [02071205] | PayerId: 03196593 | Price: 6035 | Keywords: #2501200#,#2730#,#????.?? ?i??.????.?????.??.????.?? ???? ?? 01.2016?.#,#??.???796"??? ????.i ???.???.????.,??i ?????.????.????.???."??.20-23 30#,#??????#
Date: 2017/04/13 14:13:59.559 | Message: [02071205] | PayerId: 03196593 | Price: 44378 | Keywords: #090405#,#2730#,#????. ????. ???.??-?? 473,12, ????.876,07, ?/? 3088,61 ?i?.??????.?????.????#,#??.??.3 ??"??? 16" ?i?. ??? 23.12.15 ?14/15#,#??? ???#
Date: 2017/04/13 14:13:59.559 | Message: [02071205] | PayerId: 03196593 | Price: 3455249 | Keywords: #090405#,#2730#,#????. ????. ???.????.31134,89, ??.??.3417,60 ??????.?????.????#,#??.??.3 ??"??? 16" ?i?. ??? 23.12.15 ?14/15#,#??? ???#
Date: 2017/04/13 14:13:59.559 | Message: [02071205] | PayerId: 03196593 | Price: 1452653 | Keywords: #090405#,#2730#,#????. ????. ???. ?? ??? 4801,13, ?????i? 2917,09, ??.??. 6808,31 ??????.?????.????#,#??.??.3 ??"??? 16" ?i?. ??? 23.12.15 ?14/15#,#??? ???#
Date: 2017/04/13 14:13:59.559 | Message: [02071205] | PayerId: 03196601 | Price: 42222 | Keywords: ##090405#,#2730#,#????????? ??????.??????. ?? 2015?? ???????i? ? ??? ?? ??????i? ?? ?????? ??????????#,#??? ?? 2016?#,#??? ???#
Date: 2017/04/13 14:13:59.559 | Message: [02071205] | PayerId: 02146446 | Price: 1000 | Keywords: #070807#,#2730#,#??????? ???????i?  ?? ????? 2016?. ????? ?.?.#
Date: 2017/04/13 14:13:59.559 | Message: [02071205] | PayerId: 19461353 | Price: 2303674 | Keywords: #070201#, #2240#,#???. ?? ?????? ????. ?? ?i???? 2016 #,#??? ?1 ?i?  15.02.16 , ???. ?5394 -? ?. 21.02.13 , ?.?. ?8 ?i? 12.02.16 #,# ? ?.?. ??? -  6581,92 ???.#
Date: 2017/04/13 14:13:59.559 | Message: [02071205] | PayerId: 19461353 | Price: 200 | Keywords: #070201#,#2240#, #?i??????????? ????????. ??????i? ??  ?i???? 2016 ?.#, #??? ?/?  ?. 15.02.16 , ???. ? 133  ? 26.03.13 ?., ?.?. 3 ?. 12.02.16 ?.#,#???  ??? #
Date: 2017/04/13 14:13:59.559 | Message: [02071205] | PayerId: 19461353 | Price: 1441859 | Keywords: #070201#, #2240#,#???. ?? ?????? ????. ?? ?i???? 2016 #,#??? ?1 ?i?  15.02.16 , ???. ?5394 -? ?. 21.02.13 , ?.?. ?8 ?i? 12.02.16 #,# ? ?.?. ??? - 4119,60 ???.#
Date: 2017/04/13 14:13:59.559 | Message: [02071205] | PayerId: 03196601 | Price: 3941496 | Keywords: 090405  2730  ????????? ????????????? ?????????????i ?? 2015 ?. ?? ??????i? ? ??? ?? 2016?. ?? ?????? ??????????  ??? ???.
Date: 2017/04/13 14:13:59.559 | Message: [02071205] | PayerId: 03196593 | Price: 203999 | Keywords: #090405#,#2730#,#????. ????. ???. ?? ??? ?i?.??????.?????.????#,#??.??.3 ??"??? 16" ?i?. ??? 23.12.15 ?14/15#,#??? ???#
Date: 2017/04/13 14:13:59.559 | Message: [02071205] | PayerId: 03196593 | Price: 131234 | Keywords: #090405#,#2730#,#????. ????. ???. ?? ?/???? ?i?.??????.?????.????#,#??.??.3 ??"??? 16" ?i?. ??? 23.12.15 ?14/15#,#??? ???#
Date: 2017/04/13 14:13:59.559 | Message: [02071205] | PayerId: 03196593 | Price: 1360143 | Keywords: #090405#,#2730#,#????. ????. ???. ?? ???????? ?i?.??????.?????.????#,#??.??.3 ??"??? 16" ?i?. ??? 23.12.15 ?14/15#,#??? ???#
Date: 2017/04/13 14:13:59.559 | Message: [02071205] | PayerId: 03196593 | Price: 434498 | Keywords: #090405#,#2730#,#????. ????. ???. ?? ??.?????i? ?i?.??????.?????.????#,#??.??.3 ??"??? 16" ?i?. ??? 23.12.15 ?14/15#,#??? ???#
Date: 2017/04/13 14:13:59.559 | Message: [02071205] | PayerId: 03196593 | Price: 20103 | Keywords: #090405#,#2730#,#????. ????. ???. ?? ??-?? ?i?.??????.?????.????#,#??.??.3 ??"??? 16" ?i?. ??? 23.12.15 ?14/15#,#??? ???#
Date: 2017/04/13 14:13:59.559 | Message: [02071205] | PayerId: 03196593 | Price: 123947 | Keywords: #090405#,#2730#,#????. ????. ???. ?? ?????i??. ?i?.??????.?????.????#,#??.??.3 ??"??? 16" ?i?. ??? 23.12.15 ?14/15#,#??? ???#
Date: 2017/04/13 14:13:59.559 | Message: [02071205] | PayerId: 03196593 | Price: 13856 | Keywords: 090405  2730  ????. ????. ???. ??.??. ?i?.??????.?????.????  ??.??.3 ??"??? 16" ?i?. ??? 23.12.15 ?14/15  ??? ???.
Date: 2017/04/13 14:13:59.559 | Message: [02071205] | PayerId: 02007503 | Price: 1500 | Keywords: 080101 2282 ??? ??  ????? ?i???? ????i?i? ????i? ?? ???i?? ?????? ?? ???????? ? ?????i i??i???? ???? ?? ????33/15?-030?i?26.02.16??? ??? ??3?i?26.02.16 ??????
Date: 2017/04/13 14:13:59.571 | Message: [02071205] | PayerId: 02007503 | Price: 1500 | Keywords: 080101 2282 ??? ??  ????? ?i???? ????i?i? ????i? ?? ???i?? ?????? ?? ???????? ? ?????i i??i???? ???? ?? ????33/15?-032?i?26.02.16??? ??? ??2?i?26.02.16 ??????
Date: 2017/04/13 14:13:59.571 | Message: [02071205] | PayerId: 02007503 | Price: 1500 | Keywords: 080101 2282 ??? ??  ????? ?i???? ????i?i? ????i? ?? ???i?? ?????? ?? ???????? ? ?????i i??i???? ???? ?? ????33/15?-031?i?26.02.16??? ??? ??1?i?26.02.16 ??????
