Date: 2017/04/13 14:11:27.608 | Message: [16459396] | Index taks was started.
Date: 2017/04/13 14:11:27.617 | Message: [16459396] | Import task status will be changed from Failed to InProgress
Date: 2017/04/13 14:11:27.617 | Message: [16459396] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 0
Date: 2017/04/13 14:11:35.117 | Message: [16459396] | Parsed transaction count: 300
Date: 2017/04/13 14:11:35.379 | Message: [16459396] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 600
Date: 2017/04/13 14:11:40.478 | Message: [16459396] | Parsed transaction count: 300
Date: 2017/04/13 14:11:40.753 | Message: [16459396] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 900
Date: 2017/04/13 14:11:43.825 | Message: [16459396] | Parsed transaction count: 300
Date: 2017/04/13 14:11:44.130 | Message: [16459396] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 1200
Date: 2017/04/13 14:11:47.776 | Message: [16459396] | Parsed transaction count: 300
Date: 2017/04/13 14:11:48.043 | Message: [16459396] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 1500
Date: 2017/04/13 14:11:51.989 | Message: [16459396] | Parsed transaction count: 300
Date: 2017/04/13 14:11:52.282 | Message: [16459396] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 1800
Date: 2017/04/13 14:11:56.183 | Message: [16459396] | Parsed transaction count: 300
Date: 2017/04/13 14:11:56.421 | Message: [16459396] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 2100
Date: 2017/04/13 14:12:01.308 | Message: [16459396] | Parsed transaction count: 300
Date: 2017/04/13 14:12:01.581 | Message: [16459396] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 2400
Date: 2017/04/13 14:12:05.607 | Message: [16459396] | Parsed transaction count: 300
Date: 2017/04/13 14:12:05.901 | Message: [16459396] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 2700
Date: 2017/04/13 14:12:09.979 | Message: [16459396] | Parsed transaction count: 300
Date: 2017/04/13 14:12:10.305 | Message: [16459396] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 3000
Date: 2017/04/13 14:12:14.401 | Message: [16459396] | Parsed transaction count: 300
Date: 2017/04/13 14:12:14.648 | Message: [16459396] | Request: StartDate: 1/1/2016, ToDate: 4/10/2017, Offset: 3300
Date: 2017/04/13 14:12:18.600 | Message: [16459396] | Parsed transaction count: 300
Date: 2017/04/13 14:12:18.600 | Message: [16459396] | There are 30 invalid transactions:
Date: 2017/04/13 14:12:18.600 | Message: [16459396] | PayerId: 25884905 | Price: 29452 | Keywords: #xxxx,20#, #?????. ????? ?? ????? ?????? - ????????? ?????? ?????????#, #??.????. ?xxxx/xxxx/xxxx/8 ??? 12.01.16 ?.#, #??? ???#
Date: 2017/04/13 14:12:18.600 | Message: [16459396] | PayerId: 25884905 | Price: 14726 | Keywords: #xxxx,60#, #?????. ????? ?? ????? ?????? - ????????? ?????? ?????????#, #??.????. ?xxxx/xxxx/xxxx/9 ??? 12.01.16 ?.#, #??? ???#
Date: 2017/04/13 14:12:18.600 | Message: [16459396] | PayerId: 37393782 | Price: 429198 | Keywords: 2501200 2730  ?i???.?..???. ?????. ??. ????. ??????????.  ?? "??? ??.i ???.???. ????, ??i ?..??.????.???. ?796/12", ?/? 2 ?i? 11.01.16,18?i? 25.01.16 . ??? ???.
Date: 2017/04/13 14:12:18.600 | Message: [16459396] | PayerId: 05417035 | Price: 2376 | Keywords: 6541030 2281 ?? ?i?.????i? ??i?.??? ??.???.?2-79 ?i? 22,02,16, ????1 ?i? 22,02,16 ? ?.?. ???-396,00.
Date: 2017/04/13 14:12:18.600 | Message: [16459396] | PayerId: 37393782 | Price: 429198 | Keywords: 2501200 2730  ?i???. ????.???. ????. ??. ????. ??????????.  ?? "??? ??.i ???.???. ????,??i ???..??.????.???. ?796/12, ?/? 2 ?i?11.01.16,18 ?i?25.01.16. ??? ???.
Date: 2017/04/13 14:12:18.600 | Message: [16459396] | PayerId: 26125035 | Price: 894 | Keywords: #070501#,#2240#,#?????? ?? ????i?.?i?.?????? ?i??.??? ? ????????.#,#02.2016?.#,#??? 1 ?i? 25.02.2016?.#,#???.2-167/1 ?i? 25.02.2016?.#,#? ?.?.???-149,00#
Date: 2017/04/13 14:12:18.600 | Message: [16459396] | PayerId: 26125035 | Price: 1584 | Keywords: #070501#,#2240#,#?????? ?? ????i?.?i?.?????? ??i?.??? #,#02.2016?.#,#??? 1 ?i? 25.02.2016?.#,#???.2-167 ?i? 25.02.2016?.#,#? ?.?.???-264,00#
Date: 2017/04/13 14:12:18.600 | Message: [16459396] | PayerId: 05417228 | Price: 792 | Keywords: #6541030#,#2281#,#????? ??  ????i????? ?i?.?????? ????#,#?????i? ? 2-158 ?i? 25.02.16?.?? ????? ?1 ?i? 26.02.16?.#,#? ?.?.???-132,00#
Date: 2017/04/13 14:12:18.600 | Message: [16459396] | PayerId: 05398295 | Price: 792 | Keywords: 6541030  2281  ?? ???. ?????? ????. ??? ? 1??. 16?.  ?-??  ???. ?2-162 ??? 22.02.16?., ???? ?1 ??? 09.03.16?.  ???-132,00???.
Date: 2017/04/13 14:12:18.600 | Message: [16459396] | PayerId: 34477817 | Price: 4752 | Keywords: * 0301060 2240 ????.?i?.?????.??i??.??? ??. ???? ?1 ?i? 15.03.16?.???.?2-230 ?i? 14.03.16 ?.   ? ?.?. ???-792,00???.
Date: 2017/04/13 14:12:18.600 | Message: [16459396] | PayerId: 02011901 | Price: 732 | Keywords: 6561040 2281 ???.?????? ???????? ??? ???.? 2-57 ??? 15.03.2016 ???? 1 ??? 15.03.2016  ??? - 122,00 ???
Date: 2017/04/13 14:12:18.600 | Message: [16459396] | PayerId: 02011901 | Price: 2376 | Keywords: 6561040 2281 ???.?????? ??????? ??? ???.? 2-94 ??? 15.03.2016 ???? 1 ??? 15.03.2016  ??? - 396,00 ???
Date: 2017/04/13 14:12:18.600 | Message: [16459396] | PayerId: 37393782 | Price: 680 | Keywords: 2501200 2730  ?i???. ????.???. ?????. ?????i??? ????. ??????????.  ?? "??? ??.i ???.???. ????, ??i ?????.??.????.???.? 796/12 " ?/? 48 ?i? 09.03.16 ??? ???.
Date: 2017/04/13 14:12:18.600 | Message: [16459396] | PayerId: 02125289 | Price: 792 | Keywords: 2201160 2282 ?????? ?? ??????? ?? ????i?????? ?i?i????? ?????? ??i???? ???  ??? 1 ?i? 16.03.16?. ???.2-52 ?i? 16.03.16?. ???-792,00.
Date: 2017/04/13 14:12:18.610 | Message: [16459396] | PayerId: 31115684 | Price: 1584 | Keywords: 3507030/02 2240 1584,00 ???. ?? ?i?????i? ??i???? ??? ??. ????2-176 ?i? 28,03,16?. ????1 ?i?28,03,16?.? ?.?.???-264,00
Date: 2017/04/13 14:12:18.610 | Message: [16459396] | PayerId: 39908375 | Price: 792 | Keywords: 6641010  2610  ?????? ?? ??????? ???.????? ???.??? ??.???? 1 ??? 24.03.2016  ???.? 2-60 ??? 23.03.2016 ,? ?.?. ??? - 132,00 ???.
Date: 2017/04/13 14:12:18.610 | Message: [16459396] | PayerId: 22869098 | Price: 8500 | Keywords: 2507030   2282-8500,00   ?i???????.????.i????.??.???.?86/15?i?25.09.2019,????16?i?01.04.2016   ??? ???
Date: 2017/04/13 14:12:18.610 | Message: [16459396] | PayerId: 02011901 | Price: 501 | Keywords: 6561040  2281  ???????? ?????? ????  ???.? 1-08 ??? 04.04.2016 ??? 1 ??? 04.04.2016  ??? - 83,50
Date: 2017/04/13 14:12:18.610 | Message: [16459396] | PayerId: 07770190 | Price: 792 | Keywords: 2101080  2240  ?? ????i?????? ?i?i????? ?????? ??i???? ???  ???. ??. ???. 2-01 ?i? 12.04.2015 ?? ???? 1 ?i? 12.04.2016  ???-132,00.
Date: 2017/04/13 14:12:18.610 | Message: [16459396] | PayerId: 37393782 | Price: 680 | Keywords: 2501200 2730  ?i???. ????.???. ?????. ?????i??? ????. ??????????.  ?? "??? ??.i ???.???. ????, ??i ?????.??.????.???. ?796/12, ?/? 79 ?i? 06.04.2016. ??? ???.
Date: 2017/04/13 14:12:18.610 | Message: [16459396] | PayerId: 05417035 | Price: 2376 | Keywords: 6541030 2281 ?? ?i?.????i? ??i?.??? ??.???.?2-79 ?i? 22,02,16, ????2 ?i? 14,04,16 ? ?.?. ???-396,00.
Date: 2017/04/13 14:12:18.610 | Message: [16459396] | PayerId: 26125035 | Price: 1584 | Keywords: 070501 2240 ?????? ?? ????i?.?i?.?????? ??i?.???  ??i???? 2016?. ??? 2 ?i? 18.04.2016?. ???.2-167 ?i? 25.02.2016?. ? ?.?.???-264,00
